ULTRAPNG PIPELINE V6.0 — RUN REPORT
============================================================
Date       : 2026-03-27 08:15 IST
Batch      : 5 -> 805
Generated  : 800
Deleted    : 0
Approved   : 800
Transparent: 800
Uploaded   : 800
Posts      : 800
Duration   : 11.3h
Status     : SUCCESS
============================================================

FULL LOG
============================================================
[20:57:49] Manual drop: no PNG files found
[20:57:49] Loading prompts...
[20:57:50] Loaded 7972 prompts
[20:57:50] Batch: 800 prompts

[20:57:50] Building skip-set from REPO2 JSON files...
[20:57:50]   Skip-set (REPO2): 10 already-done filenames
[20:57:51]   Skip-set (ultradata): 10 already-generated filenames
[20:57:51]   Combined skip-set: 10 filenames total

[20:57:51] ========================================================
[20:57:51] PHASE 1: FLUX.2-Klein-4B — Image Generation
[20:57:51]   Loading from HuggingFace: black-forest-labs/FLUX.2-klein-4B
[20:57:51] ========================================================
[20:58:19]   Loading: black-forest-labs/FLUX.2-klein-4B
[20:58:19]   (First run: downloads ~8GB — ~5 min)
[20:59:22] FLUX.2 loaded | Batch: 800 | Skip: 10

[21:00:36]   [1/800] OK img_003341.png | animals | ETA 988min
[21:01:24]   [2/800] OK img_001389.png | animals | ETA 812min
[21:02:11]   [3/800] OK img_001401.png | animals | ETA 749min
[21:02:57]   [4/800] OK img_000620.png | animals | ETA 716min
[21:03:44]   [5/800] OK img_001064.png | animals | ETA 694min
[21:04:30]   [6/800] OK img_003063.png | animals | ETA 679min
[21:05:16]   [7/800] OK img_000558.png | animals | ETA 669min
[21:06:02]   [8/800] OK img_003466.png | animals | ETA 661min
[21:06:48]   [9/800] OK img_003465.png | animals | ETA 654min
[21:07:34]   [10/800] OK img_001697.png | animals | ETA 648min
[21:08:20]   [11/800] OK img_001287.png | animals | ETA 643min
[21:09:06]   [12/800] OK img_003635.png | animals | ETA 639min
[21:09:51]   [13/800] OK img_002006.png | animals | ETA 635min
[21:10:37]   [14/800] OK img_004089.png | animals | ETA 632min
[21:11:22]   [15/800] OK img_004463.png | animals | ETA 628min
[21:12:08]   [16/800] OK img_002409.png | animals | ETA 625min
[21:12:53]   [17/800] OK img_000947.png | animals | ETA 623min
[21:13:38]   [18/800] OK img_002710.png | animals | ETA 620min
[21:14:23]   [19/800] OK img_003468.png | animals | ETA 618min
[21:15:08]   [20/800] OK img_004196.png | animals | ETA 615min
[21:15:53]   [21/800] OK img_003496.png | animals | ETA 613min
[21:16:37]   [22/800] OK img_004852.png | animals | ETA 610min
[21:17:23]   [23/800] OK img_003292.png | animals | ETA 609min
[21:18:07]   [24/800] OK img_001927.png | animals | ETA 607min
[21:18:52]   [25/800] OK img_002350.png | animals | ETA 605min
[21:19:36]   [26/800] OK img_000491.png | animals | ETA 603min
